Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1981","1981","ha","280","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1981","1981","hg/ha","32321","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1981","1981","tonnes","905","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1982","1982","ha","250","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1982","1982","hg/ha","32800","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1982","1982","tonnes","820","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1983","1983","ha","220","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1983","1983","hg/ha","32727","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1983","1983","tonnes","720","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1984","1984","ha","200","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1984","1984","hg/ha","32500","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1984","1984","tonnes","650","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1985","1985","ha","170","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1985","1985","hg/ha","32353","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1985","1985","tonnes","550","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1986","1986","ha","145","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1986","1986","hg/ha","32414","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1986","1986","tonnes","470","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1987","1987","ha","120","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1987","1987","hg/ha","31667","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1987","1987","tonnes","380","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1988","1988","ha","60","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1988","1988","hg/ha","32500","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1988","1988","tonnes","195","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1989","1989","ha","30","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1989","1989","hg/ha","29333","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1989","1989","tonnes","88","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1990","1990","ha","25","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1990","1990","hg/ha","32000","Fc","Calculated data",""
"QC","Crops","200","Singapore","5510","Production","486","Bananas","1990","1990","tonnes","80","","Official data",""
"QC","Crops","200","Singapore","5312","Area harvested","486","Bananas","1991","1991","ha","10","F","FAO estimate",""
"QC","Crops","200","Singapore","5419","Yield","486","Bananas","1991","1991","hg/ha","30000","Fc","Calculated data",""
