Time,Industry_dollar,Agriculture_dollar,Industry_GDP,Agriculture_GDP,Employment_agriculture,Employment_industry,High_tech_exports
1990,17312944627.7961,172423909.057572,30.8416291646397,0.323370771537132,..,..,39.8938862492921
1991,18601026769.3436,158122478.914558,32.5981992716126,0.250009228955753,0.282000005245209,35.1679992675781,40.5417707511922
1992,19539860652.7319,149248258.159149,32.265179584477,0.197262802073378,0.31700000166893,34.6300010681152,44.7965177173432
1993,21363256325.6326,138467180.051338,32.1199720378204,0.172671561748963,0.245000004768372,33.8800010681152,47.5031068506181
1994,24426329299.5966,141987532.086542,31.2923624656353,0.172955109763045,0.296999990940094,32.7430000305176,50.6589758682585
1995,26754748808.2142,136707004.033737,31.4799161631559,0.144731740561733,0.24099999666214,30.9619998931885,54.1470447534394
1996,28527539420.6087,141034103.410341,31.5377920727908,0.149857315530941,0.194000005722046,30.2469997406006,55.7143715915021
1997,30413494682.8016,138907224.055739,31.0480186386146,0.132864006024603,0.189999997615814,30.375,57.0165886820873
1998,30511991199.1199,126879354.602127,32.0490824405694,0.111405232699597,0.560999989509583,29.8250007629395,59.067059344751
1999,32542060872.754,126072607.260726,30.8268928730891,0.11124793931483,0.654999971389771,29.1149997711182,60.8993785342945
2000,36228456178.9512,119985331.86652,32.4647419737716,0.0921208805109864,0.146999999880791,33.8569984436035,62.7949457883433
2001,33216354968.8302,104950495.049505,30.3503504629812,0.082638377087291,0.708000004291534,25.9519996643066,60.9492971185736
2002,34589732306.564,86982031.536487,30.6257854739631,0.0713114689372951,0.689000010490417,25.2880001068115,60.6266403589088
2003,35034103410.341,79721305.4638797,30.0451253818142,0.0614216447982731,0.71399998664856,25.1420001983643,90.0182032791963
2004,38616574990.8324,79721305.4638797,31.6029150032513,0.0559581143151737,0.741999983787537,24.0909996032715,56.8761485245438
2005,41701650165.0165,85368536.8536854,30.9124645171025,0.055075115289946,0.924000024795532,21.82200050354,93.7144354980336
2006,46245104510.451,86762009.5342868,30.3806502437882,0.0490131368833436,1.07799994945526,22.2590007781982,98.7290506523017
2007,49675100843.4177,86688668.8668867,27.6696609545887,0.0429862068101064,0.991999983787537,22.6319999694824,45.5312487611651
2008,49617455078.8412,81628162.8162816,25.897233771257,0.0416206461936228,1.07099997997284,22.6919994354248,49.8274875271287
2009,49784598459.846,84781811.5144848,26.4795003180184,0.0409493385931437,0.141000002622604,31.3540000915527,48.6801466380124
2010,61688228822.8823,86835350.2016868,26.0924472586798,0.0367289973883325,0.126000002026558,30.3859996795654,49.9086554626224
2011,66023835716.905,88668866.8866887,24.7370295167658,0.0345422446754815,1.03699994087219,19.753999710083,45.1569713522559
2012,67500696736.3403,91895856.2522919,24.6393923385479,0.0331722985705079,1.13999998569489,19.3980007171631,45.2892228961385
2013,68819215254.8588,96002933.626696,23.1529145690259,0.033966490770643,1.13900005817413,18.7329998016357,46.9943672838213
2014,71263953061.9729,102970297.029703,24.0226957857306,0.034984016534951,1.02600002288818,16.6679992675781,47.1824035562881
2015,69337147048.0381,95782911.6244958,24.2487925571,0.0310950033678281,0.944000005722046,16.3899993896484,49.2754256751254
2016,71572423909.0576,94389438.9438944,23.7241867295043,0.029934186851017,0.118000000715256,16.2940006256104,48.8508855157833
